series,season,driver_name,driver_code,team_name,n_races,avg_finish,best_finish,worst_finish,finish_std,wins,win_rate,podiums,podium_rate,top10_finishes,top10_rate,dnf_count,dnf_rate,dns_count,dns_rate,dsq_count,dsq_rate,total_laps,avg_kph,avg_lap_time_s,avg_time_from_winner_s,avg_best_lap_from_best_s,driver_speed_mean,team_speed_mean,team_avg_pos_season_mean,driver_vs_team_mean,driver_vs_team_best,driver_vs_team_std,lap_vs_race_avg_mean,lap_vs_race_avg_std
F3,2020,M  Belov,BEL,Charouz Racing System,3,18.0,13.0,23.0,7.0710678118654755,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,54.0,183.904,118.45933333333333,29.231499999999997,1.918,118.459,114.37174159994417,17.955,4.087666666666667,-10.022,23.057566704518788,2.276666666666667,4.087726303623241
F3,2020,M  Fewtrell,FEW,Hitech Grand Prix,6,12.0,7.0,20.0,4.847679857416329,0,0.0,0,0.0,2,0.3333333333333333,1,0.16666666666666666,0,0.0,0,0.0,110.0,162.29059999999998,110.0474,11.3586,1.134,110.04699999999998,112.23846447683381,10.863999999999999,-2.1914000000000002,-19.477,14.37008475270762,-3.0662,2.9616022183946313
F3,2020,M  Nannini,NAN,Jenzer Motorsport,9,19.22222222222222,3.0,26.0,7.429296362674223,0,0.0,1,0.1111111111111111,1,0.1111111111111111,0,0.0,0,0.0,0,0.0,173.0,154.605,140.16966666666667,33.38055555555556,4.354,140.17,121.49808431027175,19.125,18.671666666666667,-28.516,74.86663808232609,26.247333333333334,77.54616629950186
F3,2020,O  Caldwell,CAL,Trident,9,15.875,6.0,26.0,6.791538853603063,0,0.0,0,0.0,2,0.2222222222222222,1,0.1111111111111111,0,0.0,0,0.0,170.0,171.942375,111.983125,17.934874999999998,1.1555,111.983,111.81270581283422,9.708,0.17012499999999997,-18.786,14.634146238335873,-2.281625,2.5911053315690804
F3,2020,O  Piastri,PIA,PREMA Racing,9,5.0,1.0,8.0,2.5819888974716116,1,0.1111111111111111,2,0.2222222222222222,7,0.7777777777777778,2,0.2222222222222222,0,0.0,0,0.0,170.0,169.15800000000002,112.21555555555555,6.455142857142858,0.47611111111111115,112.215,112.56030919658724,6.85,-0.34500000000000014,-19.846,14.731050845068724,-1.706888888888889,4.996757109477217
F3,2020,P  Chovet,CHO,Hitech Grand Prix,2,7.0,7.0,7.0,,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,25.0,193.941,118.782,8.66,2.015,118.782,112.2384644768338,10.864,6.543500000000001,-8.571,21.375130888488147,-2.797,2.026568034880645
F3,2020,R  Stanek,STA,Charouz Racing System,9,18.11111111111111,8.0,24.0,4.675586713035179,0,0.0,0,0.0,1,0.1111111111111111,0,0.0,0,0.0,0,0.0,192.0,169.64822222222222,111.96877777777779,23.30111111111111,1.5553333333333332,111.969,114.37174159994417,17.955,-2.4026666666666667,-21.251,13.70579749595039,-1.9532222222222222,2.016078047706597
F3,2020,R  Verschoor,VER,MP Motorsport,9,7.111111111111111,2.0,18.0,4.8074017006186525,0,0.0,1,0.1111111111111111,8,0.8888888888888888,0,0.0,0,0.0,0,0.0,192.0,170.43533333333335,111.29555555555555,9.229333333333333,0.8836666666666667,111.296,112.72042301120447,12.522,-1.424666666666667,-20.132,13.603500413496521,-2.6265555555555555,2.2308279354934073
F3,2020,S  Fernández,FER,ART Grand Prix,9,11.88888888888889,8.0,22.0,4.314059701848262,0,0.0,0,0.0,4,0.4444444444444444,0,0.0,0,0.0,0,0.0,192.0,170.08855555555556,111.52322222222222,13.885666666666667,1.0322222222222222,111.523,111.36905099383188,9.333,0.1542222222222225,-18.54,13.675219594011807,-2.3987777777777777,2.334643643994613
F3,2020,S  Floersch,FLO,Campos Racing,8,18.428571428571427,12.0,24.0,4.577377082170635,0,0.0,0,0.0,0,0.0,1,0.125,0,0.0,0,0.0,161.0,170.442,107.352375,20.90742857142857,1.3915,107.352,115.16850141541464,17.478,-7.8161249999999995,-31.038,13.600858401875124,-3.5443750000000005,6.638479514757663
