series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,avg_best_lap_s,finish_std,points_std,dnf_count,dnf_rate
F3,2022,I  Hadjar,HAD,Hitech Grand Prix,9,,,12.666666666666666,5,27,0,0.0,0,0.0,,,5,0.5555555555555556,201.0,159.15311111111112,101.799,7.19374728496908,,,
F3,2022,J  Correa,JCO,ART Grand Prix,8,,,13.75,1,26,1,0.125,1,0.125,,,3,0.375,156.0,155.0965,102.77499999999999,8.64787339672097,,,
F3,2022,J  Crawford,CRA,PREMA Racing,9,,,11.777777777777779,5,28,0,0.0,0,0.0,,,6,0.6666666666666666,201.0,159.18744444444442,103.15033333333332,7.479601890772292,,,
F3,2022,J  Edgar,EDG,Trident,7,,,15.714285714285714,8,27,0,0.0,0,0.0,,,2,0.2857142857142857,153.0,160.18885714285716,103.69814285714286,7.631388814501279,,,
F3,2022,J  Martí,MAR,Campos Racing,9,,,19.88888888888889,1,28,1,0.1111111111111111,1,0.1111111111111111,,,1,0.1111111111111111,192.0,157.1688888888889,102.654,8.417904199449595,,,
F3,2022,K  Frederick,FRE,Hitech Grand Prix,9,,,19.0,12,29,0,0.0,0,0.0,,,0,0.0,201.0,157.99033333333333,103.6711111111111,6.164414002968976,,,
F3,2022,K  Maini,MAI,MP Motorsport,9,,,17.666666666666668,4,30,0,0.0,0,0.0,,,2,0.2222222222222222,181.0,157.60862500000002,100.43175,9.233092656309694,,,
F3,2022,L  Tóth,TOT,Charouz Racing System,9,,,23.333333333333332,1,30,1,0.1111111111111111,1,0.1111111111111111,,,1,0.1111111111111111,176.0,149.6391111111111,103.88475,8.831760866327848,,,
F3,2022,L  Zendeli,ZEN,Charouz Racing System,1,,,20.0,20,20,0,0.0,0,0.0,,,0,0.0,24.0,152.541,98.255,,,,
F3,2022,N  Azman,AZM,Hitech Grand Prix,9,,,19.333333333333332,2,29,0,0.0,2,0.2222222222222222,,,2,0.2222222222222222,169.0,154.05333333333334,108.83111111111111,10.19803902718557,,,
F3,2022,N  Kari,KAR,Jenzer Motorsport,1,,,16.0,16,16,0,0.0,0,0.0,,,0,0.0,23.0,157.339,111.893,,,,
F3,2022,O  Bearman,BEA,PREMA Racing,9,,,7.666666666666667,4,15,0,0.0,0,0.0,,,8,0.8888888888888888,201.0,159.71955555555556,103.07833333333333,3.3166247903554,,,
F3,2022,O  Goethe,GOE,Campos Racing,2,,,18.5,7,30,0,0.0,0,0.0,,,1,0.5,42.0,150.56400000000002,113.53899999999999,16.263455967290593,,,
