series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s,first_f1_year,f1_entry
F2,2019,T  Inthraphuvasak,INT,TRIDENT,1,0.0,0.0,17.0,17,17,0,0.0,0,0.0,0.0,0.0,0,0.0,33.0,167.776,,,0.0,0.0,99.803,,False
F2,2019,J  Martí,JMA,Campos Racing,12,68.0,5.666666666666667,8.5,3,20,0,0.0,1,0.0833333333333333,9.0,0.75,9,0.75,339.0,177.93581818181818,4.814750064314676,5.262791055796315,1.0,0.0833333333333333,103.20645454545456,,False
F2,2019,A  Lindblad,LIN,Campos Racing,14,117.0,8.357142857142858,7.214285714285714,1,19,2,0.1428571428571428,2,0.1428571428571428,12.0,0.8571428571428571,12,0.8571428571428571,401.0,167.42714285714283,4.7260093985480855,8.139241533905524,2.0,0.1428571428571428,101.24121428571428,,False
F2,2019,K  Maini,MAI,DAMS Lucas Oil,14,21.0,1.5,14.142857142857142,6,21,0,0.0,0,0.0,4.0,0.2857142857142857,4,0.2857142857142857,418.0,167.4775,5.274862635574108,2.848751413406339,1.0,0.0714285714285714,101.8345,,False
F2,2019,S  Meguetounif,MEG,TRIDENT,11,1.0,0.0909090909090909,15.090909090909092,10,22,0,0.0,0,0.0,1.0,0.0909090909090909,1,0.0909090909090909,278.0,163.542,3.7270509911871463,0.3015113445777636,3.0,0.2727272727272727,101.28054545454546,,False
F2,2019,G  Minì,MIN,PREMA Racing,14,50.0,3.5714285714285716,12.071428571428571,3,22,0,0.0,1,0.0714285714285714,8.0,0.5714285714285714,8,0.5714285714285714,356.0,177.06825,6.707794383737884,4.862957088886519,3.0,0.2142857142857142,104.81666666666666,,False
F2,2019,R  Miyata,MIY,ART Grand Prix,14,22.0,1.5714285714285714,14.0,3,22,0,0.0,1,0.0714285714285714,4.0,0.2857142857142857,4,0.2857142857142857,338.0,175.84958333333336,5.233031185136907,4.032832288074507,3.0,0.2142857142857142,105.50283333333331,,False
F2,2019,S  Montoya,MON,PREMA Racing,14,79.0,5.642857142857143,10.5,2,22,0,0.0,2,0.1428571428571428,9.0,0.6428571428571429,9,0.6428571428571429,388.0,167.52614285714284,7.024681761201275,6.147008563985761,3.0,0.2142857142857142,101.6925,2001.0,False
F2,2019,C  Shields,SHI,AIX Racing,14,0.0,0.0,17.857142857142858,11,22,0,0.0,0,0.0,0.0,0.0,0,0.0,353.0,166.124,3.2783002832645987,0.0,3.0,0.2142857142857142,102.35253846153849,,False
F2,2019,R  Stanek,STA,Invicta Racing,14,76.0,5.428571428571429,10.428571428571429,2,21,0,0.0,3,0.2142857142857142,7.0,0.5,7,0.5,393.0,168.96592857142858,6.57166745862975,7.41842079104219,2.0,0.1428571428571428,101.78692857142858,,False
